espn_id,full_name,salary,position,team_id
,"Blake Annen",4500,"TE","CHI"
,"Kadron Boone",4500,"WR","IND"
,"Danny Coale",4500,"WR","PIT"
,"Jace Davis",4500,"WR","HOU"
,"Jonathan Brown",4500,"MLB","CHI"
,"Kerwynn Williams",4500,"RB","ARI"
,"Jeff Demps",4500,"RB","IND"
,"Shaq Evans",4500,"WR","NYJ"
,"Kenny Okoro",4500,"CB","WAS"
,"Conor Boffeli",4500,"OG","CHI"
,"Evan Wilson",4500,"TE","OAK"
,"Jocquel Skinner",4500,"CB","TB"
,"Will Rackley",4500,"G","BAL"
,"Josh Andrews",4500,"OG","PHI"
,"Michael Palardy",4500,"K","OAK"
,"Pat Devlin",4500,"QB","MIN"
,"Jamil Merrell",4500,"DE","CHI"
,"Rashad Lawrence",4500,"WR","CHI"
,"Tavon Rooks",4500,"T","NO"
,"David Bruton Jr.",4500,"SAF","DEN"
,"Craig Loston",4500,"SAF","JAC"
,"Lance Lewis",4500,"WR","SF"
,"Jonathan Casillas",4500,"LB","NE"
,"Cameron Brate",4500,"TE","TB"
,"Curtis Feigt",4500,"OT","KC"
,"James Anderson",4500,"LB","DAL"
,"Ted Bolser",4500,"TE","ARI"
,"Solomon Patton",4500,"WR","TB"
,"Bryce Quigley",4500,"G","SD"
,"Hebron Fangupo",4500,"DT","KC"
,"Derek Dimke",4500,"K","JAC"
,"Richard Crawford",4500,"CB","SD"
,"Marcus Whitfield",4500,"OLB","JAC"
,"Robert Thomas",4500,"DT","WAS"
,"Dexter McDougle",4500,"CB","NYJ"
,"Ricky Jean-Francois",4500,"DT","IND"
,"George Atkinson",4500,"RB","OAK"
,"Cornellius Carradine",4500,"DE","SF"
,"Mike Kafka",4500,"QB","TB"
,"James Gayle",4500,"DE","WAS"
,"Tobais Palmer",4500,"WR","BUF"
,"Scott Solomon",4500,"LB","CLE"
,"Ross Weaver",4500,"DB","ARI"
,"Steve Johnson",4500,"WR","SF"
,"Dan Kistler",4500,"OT","OAK"
,"Lawrence Sidbury",4500,"OLB","TB"
,"Jimmy Gaines",4500,"LB","BUF"
,"Julian Vandervelde",4500,"C","PHI"
,"Al Louis-Jean",4500,"CB","CHI"
,"Rashaan Melvin",4500,"DB","BAL"
,"Corbin Louks",4500,"WR","KC"
,"Jordan Dangerfield",4500,"DB","PIT"
,"Lawrence Virgil",4500,"NT","NO"
,"Jason Weaver",4500,"T","CHI"
,"Chase Tenpenny",4500,"P","TB"
,"Frankie Hammond",4500,"WR","KC"
,"Emmanuel Dieke",4500,"DE","MIA"
,"Vernon Kearney",4500,"CB","OAK"
,"Graham Gano",4500,"K","CAR"
,"Shelton Johnson",4500,"SAF","TB"
,"Ryan Lindley",4500,"QB","ARI"
,"T.J. Heath",4500,"DB","MIA"
,"Gary Shamiel",4500,"DB","MIA"
,"Jacob Maxwell",4500,"TE","CHI"
,"Josh Allen",4500,"G","TB"
,"Jeremy Vujnovic",4500,"T","GB"
,"Aaron Hester",4500,"CB","KC"
,"Carrington Byndom",4500,"CB","CAR"
,"Deji Olatoye",4500,"CB","KC"
,"Mark Barron",4500,"SS","STL"
,"J.T. Thomas III",4500,"LB","JAC"
,"James Dockery",4500,"CB","CAR"
,"Chas Alecxih",4500,"DT","SD"
,"Robert Malone",4500,"P","NYG"
,"Trey Millard",4500,"FB","SF"
,"Justin Renfrow",4500,"DT","GB"
,"Landon Cohen",4500,"DT","SEA"
,"Victor Hampton",4500,"CB","NYG"
,"Ike Igbinosun",4500,"DE","BUF"
,"Kiko Alonso",4500,"LB","BUF"
,"Nate Menkin",4500,"T","BAL"
,"James Harrison",4500,"LB","PIT"
,"Edawn Coughman",4500,"OT","WAS"
,"Allen Bradford",4500,"LB","SEA"
,"Thomas DeCoud",4500,"SAF","CAR"
,"Emmett Cleary",4500,"T","CIN"
,"Garrett Hartley",4500,"K","CLE"
,"Daquan Jones",4500,"DT","TEN"
,"Jake Knott",4500,"LB","MIA"
,"Matt Patchan",4500,"OT","TB"
,"DeMarcus Love",4500,"T","DEN"
,"Leon Mackey",4500,"DE","MIN"
,"Matthew Masifilo",4500,"DT","TB"
,"Eric Kettani",4500,"FB","JAC"
,"Konrad Reuland",4500,"TE","BAL"
,"Cam Henderson",4500,"DE","NE"
,"Tyler Thigpen",4500,"QB","CLE"
,"Shawn Loiseau",4500,"LB","IND"
11387.0,"Matt Slater",4500,"WR","NE"
,"Tyler Shatley",4500,"OG","JAC"
,"Drew Butler",4500,"P","ARI"
,"Skye Dawson",4500,"WR","DET"
,"Amobi Okoye",4500,"DT","DAL"
,"Travis Long",4500,"LB","PHI"
,"Josh Cribbs",4500,"WR","IND"
,"Alan Branch",4500,"DT","NE"
,"George Uko",4500,"DT","TB"
,"Tre Boston",4500,"SAF","CAR"
,"Ryan Spadola",4500,"WR","ARI"
,"Austin Spitler",4500,"LB","WAS"
,"Dorin Dickerson",4500,"TE","TEN"
,"Robert Griffin III",4500,"QB","WAS"
,"Kenneth Horsley",4500,"DE","WAS"
,"Je'Ron Hamm",4500,"TE","WAS"
,"Terrance Cobb",4500,"RB","OAK"
,"Tauren Poole",4500,"RB","BAL"
,"Marshall McFadden",4500,"LB","STL"
,"Reggie Dunn",4500,"WR","DAL"
,"Jerry Rice Jr.",4500,"WR","WAS"
,"Brian de la Puente",4500,"C","CHI"
,"Seantavius Jones",4500,"WR","NO"
,"Trevardo Williams",4500,"OLB","WAS"
,"Jonathan Scott",4500,"OT","ATL"
,"Xavier Grimble",4500,"TE","SF"
,"Chris Whaley",4500,"DT","DAL"
,"Gerald Rivers",4500,"DE","DEN"
,"Stanley Jean-Baptiste",4500,"CB","NO"
,"Bubba Ventrone",4500,"SAF","SF"
